GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica3,es.uma.informatica.practica3.entidades,Destinatario,60,20,12,0,17,9,11,4,5,4
practica3,es.uma.informatica.practica3.entidades,Destinatario.TipoDestinatario,0,34,0,0,0,2,0,1,0,1
practica3,es.uma.informatica.practica3.entidades,Entrenador,99,94,10,0,28,40,11,27,6,27
practica3,es.uma.informatica.practica3.entidades,Mensaje,78,66,12,0,25,26,9,18,3,18
practica3,es.uma.informatica.practica3.dtos,MensajeDTO,50,48,0,0,12,14,2,4,2,4
practica3,es.uma.informatica.practica3.dtos,MensajeNuevoDTO,25,80,1,1,8,27,2,14,1,14
practica3,es.uma.informatica.practica3.dtos,DestinatarioDTO,66,18,5,3,21,8,11,3,7,3
practica3,es.uma.informatica.practica3.dtos,EntrenadorNuevoDTO,86,130,0,0,26,47,2,24,2,24
practica3,es.uma.informatica.practica3.dtos,EntrenadorDTO,23,118,0,0,6,32,2,5,2,5
practica3,es.uma.informatica.practica3.servicios.excepciones,EntidadExistenteException,0,3,0,0,0,1,0,1,0,1
practica3,es.uma.informatica.practica3.servicios.excepciones,EntidadNoEncontradaException,0,3,0,0,0,1,0,1,0,1
practica3,es.uma.informatica.practica3,MicroservicioEntrenadoresApplication,5,3,0,0,2,1,1,1,1,1
practica3,es.uma.informatica.practica3.servicios,EntrenadorServicio,0,134,0,12,0,35,0,16,0,10
practica3,es.uma.informatica.practica3.controladores,MensajeRest,0,73,0,0,0,20,0,8,0,8
practica3,es.uma.informatica.practica3.controladores,EntrenadorRest,0,99,0,0,0,27,0,9,0,9
